CustomerKey,FirstName,LastName,CustomerLifetimeValue
25978,MORGAN,PEREZ,5813.05
19773,RICKY,GUTIERREZ,5793.477
13246,HAILEY,PEREZ,4583.364
13277,NATHAN,BROWN,4274.621
15276,MEGAN,HALL,1286.648
20811,CALVIN,SHAN,2931.593
28559,BILLY,GUTIERREZ,2049.098
19290,SERGIO,PRASAD,1659.022
12988,BARBARA,GOEL,6671.858
14105,JACKSON,ZHANG,1789.898
26536,KATHERINE,THOMAS,4512.682
20669,RACHEL,ROSS,3049.536
23106,KATHRYN,YUAN,4000.243
13131,BRIANA,DIAZ,6499.555
29170,ALEXANDRA,ADAMS,3578.27
25711,MARIO,LUO,1272.732
19612,MARVIN,SANZ,5775.733
11893,ORLANDO,CARLSON,7883.45
23829,ANTHONY,RODRIGUEZ,4811.1
12053,CEDRIC,GAO,5734.65
12163,AARON,WANG,5762.726
13769,BRENDAN,KUMAR,4845.952
13324,FLORIAN,STILLER,4296.121
16317,JOEL,RAMAN,2999.12
21229,LATOYA,JAI,4198.33
14088,ALEXANDRA,LOPEZ,2755.418
14798,COLLEEN,NARA,2999.12
27082,ZACHARY,TAYLOR,699.098
12483,AMANDA,PEREZ,5649.69
19611,MEAGAN,PRASAD,5792.433
19564,LAWRENCE,GUTIERREZ,5307.22
11727,BENJAMIN,TAYLOR,5721.968
24418,BRANDON,GARCIA,4338.6
12418,ROBERT,HERNANDEZ,5766.492
21165,SHEILA,GOMEZ,4431.065
15398,JOSE,WANG,2803.186
26601,KYLE,GONZALEZ,2875.374
12292,NICOLAS,KUMAR,4805.746
18176,BRADLEY,KUMAR,3114.486
29140,RICHARD,WARD,3578.27
15118,NELSON,ORTEGA,8063.717
11915,PHILIP,CARLSON,7927.034
11742,EDWARD,LEWIS,5671.938
23806,OLIVIA,FOSTER,3578.27
20220,WENDY,CARLSON,5804.993
25922,VERONICA,MALHOTRA,1272.732
21206,ROBERTO,MORENO,3882.553
13083,JORDYN,BUTLER,4314.231
13243,ALYSSA,DAVIS,4272.962
19195,DARREN,ROMERO,1651.012
13426,TAYLOR,WILLIAMS,4252.641
12699,AMY,CHOW,6572.206
25911,ALEXANDRA,SANDERS,2181.563
20590,TODD,ZHANG,2797.078
28740,ALISHA,ALAN,3071.857
15072,WHITNEY,SUBRAM,2755.197
26560,LINDSEY,SHEN,1347.789
11257,JACQUELINE,POWELL,6458.674
19763,ROGER,LU,4151.904
19963,GEOFFREY,FERNANDEZ,5792.433
12164,NOAH,BUTLER,5662.368
25961,RICARDO,GOEL,1733.18
13401,ERIN,BRADLEY,4549.77
21956,JAY,KAPOOR,4379.025
22932,MAURICE,JAI,4194.32
11754,JANET,ORTEGA,7959.768
11761,EDGAR,MEHTA,7971.463
19563,ROBIN,MORENO,5333.25
11765,MARC,TORRES,7897.138
11797,DEVIN,COLEMAN,5748.099
11885,KURT,SHARMA,5654.27
12777,JOSEPH,ANDERSON,5654.27
12929,VANESSA,BRYANT,4593.72
16942,KAITLYN,BENNETT,2749.495
13316,ANGEL,RIVERA,4331.606
15280,MYA,GRIFFIN,2822.116
20350,ISABELLA,CAMPBELL,3106.847
13050,DENNIS,ZENG,5405.358
26445,AIDAN,FOSTER,1733.18
26549,JAMIE,SANZ,1314.144
14774,MAX,FERRIER,6188.848
14822,JESSICA,MARTIN,4395.827
12717,HANNAH,WOOD,5637.358
12104,MARIAH,ROSS,5661.012
12052,MAKAYLA,WARD,5689.27
20994,AUTUMN,MA,4226.96
15692,RYAN,GARCIA,8146.028
21193,PHILIP,HERNANDEZ,3932.791
14080,CYNTHIA,SRINI,1857.206
22200,MARTHA,YE,4398.115
16822,MARSHALL,LIN,6947.431
13700,EVAN,HOWARD,4301.522
13733,SYDNEY,COLLINS,4351.591
12328,EUGENE,ZHAO,6573.831
28758,TROY,RODRIGUEZ,2617.048
12305,XAVIER,BAILEY,4708.762
25715,TABITHA,SARA,1274.078
19771,TASHA,JAI,4188.854
12102,DEVIN,SIMMONS,5687.228
20822,SHANNON,RUIZ,4148.51
13016,ANTONIO,BRYANT,4566.082
24977,SOPHIA,GREEN,2181.563
12577,FRANCIS,SANZ,2664.058
22032,IVAN,FERNANDEZ,3882.553
12991,J�SUS,SERRANO,5410.616
16588,ANDRE,MARTINEZ,6783.636
20656,MARCUS,PERRY,3125.847
17207,IAN,TORRES,6771.275
29168,DERRICK,ROMERO,4348.234
19095,MEREDITH,MARTINEZ,5794.823
11263,TRINITY,RICHARDSON,6522.172
25919,DANA,RAMOS,1256.377
11995,KELVIN,CARSON,8045.026
26107,ALEXIS,THOMAS,5818.89
21211,LOUIS,HE,4652.872
28837,VICTORIA,RODRIGUEZ,2181.563
21217,CASEY,XIE,4398.115
12214,JULIE,RAJE,6573.354
12996,JACLYN,LIU,6559.578
16573,RUBEN,DOMINGUEZ,2999.12
14270,JAMES,ROSS,1816.178
18721,ANDY,GOMEZ,5333.25
18008,DEANNA,SAI,2474.088
11468,JACLYN,ANDERSEN,6709.327
11624,RYAN,SMITH,5649.69
19443,DOMINIC,RAMAN,1751.814
25947,SAM,WILSON,1733.18
28504,REGINALD,GOMEZ,3374.99
27075,JACKSON,CHEN,1300.692
19276,RUBEN,SAI,2493.038
14930,CINDY,SARA,2721.553
18167,RAUL,CHANDER,3154.914
26611,KAYLA,HENDERSON,4490.48
25980,JULIA,JONES,5817.704
18908,KRYSTAL,SUN,5833.793
19562,LEAH,GUO,5314.25
12754,LINDSEY,DENG,6293.268
12120,XAVIER,SIMMONS,5662.368
24392,MOLLY,PRASAD,4337.908
20576,JOHNATHAN,KAPOOR,2835.478
13278,JORGE,HU,4351.932
22168,ERICA,WANG,3020.29
22785,OSCAR,PERRY,5775.733
11259,VICTORIA,STEWART,6523.362
19454,ROGER,SHARMA,4137.308
12242,GILBERT,LIANG,3957.268
19258,DOUGLAS,MEHTA,1582.716
17099,JOEL,FERNANDEZ,2701.428
12284,CRISTINA,BECK,5387.656
19309,FRANK,SUAREZ,2435.078
24916,KARA,PAL,2057.489
28749,FRANKLIN,ZHOU,2049.098
19797,CLARENCE,LIU,5759.833
